utterance_type,speaker,object_present,basic_level,CDIform,subj,month,in_cdi
q,MOT,y,yummy+yucky,NA,738,15,
q,MOT,y,vroom+vroom,NA,738,15,
d,MOT,y,one+naked+baby,baby,639,15,
d,MOT,y,babys+busy+day,baby,288,15,
r,MOT,y,brother,NA,288,15,
r,MOT,y,sister,NA,288,15,
n,MOT,n,paw+patrol,NA,288,15,
q,FAT,y,baby+beluga,NA,521,16,
n,FAT,y,t+b+m+nine+hundred,NA,309,16,
q,MOT,y,baby+donald,NA,986,16,
n,MOT,n,pizzas,pizza,375,16,
d,MOT,n,tostitos,NA,375,16,
d,MOT,y,gravel,NA,639,16,
d,MOT,n,candy+land,candy,151,16,
r,MOT,y,granny,NA,424,16,
d,MOT,y,babys+first+words,NA,950,16,
r,MOT,n,equipment,NA,288,16,
q,FAT,y,soft+serve,NA,220,16,
q,MOT,n,bike+pump,bike,220,16,
d,MOT,y,sophie+pop+up+peek+a+boo,NA,794,17,
d,MOT,n,elmo+so+big,NA,465,17,
n,FAT,y,cat+in+the+hat,cat,274,17,
d,FAT,y,wegmans+pez+dispenser,NA,309,17,
d,SIBLING,n,sharpener,NA,623,17,
d,MOT,y,daniel+tiger+trolley,NA,664,17,
d,MOT,n,mickey+the+fireman,NA,664,17,
d,MOT,n,phonograph,NA,664,17,
d,MOT,y,woof+woof,NA,664,17,
d,MOT,y,luna+doll,NA,129,17,
d,MOT,y,slot,NA,129,17,
d,MOT,n,body,NA,129,17,
n,SIBLING,n,hulk,NA,129,17,
q,MOT,y,baby+bug,NA,378,17,
n,MOT,y,kim+and+carrots,NA,378,17,
r,MOT,y,ranger+dockett,NA,378,17,
q,MOT,y,baby+listens,NA,378,17,
q,MOT,n,ding+dong,NA,378,17,
d,FAT,n,permission+slip,NA,172,17,
d,MOT,n,barnyard+fun+book,NA,625,17,
n,MOT,y,my+new+baby,NA,926,17,
r,MOT,y,do+cows+meow,NA,944,17,
d,FAT,n,cheeseburger,NA,375,17,
q,MOT,y,peekaboo+fun,NA,738,17,
d,MOT,n,bones,NA,639,17,
d,MOT,y,beer,NA,168,17,
n,MOT,n,smore,NA,168,17,
q,MOT,y,goo+gone,NA,168,17,
d,MOT,n,yard,NA,518,17,
q,MOT,y,splish+splash+book,book,424,17,
n,MOT,n,rafael,NA,563,17,
d,SIBLING,n,pokemon,NA,563,17,
